batch_date,origin_area_code,origin,via_id,destination_area_code,destination,devices,customers,people,length,line
4/1/2021,1121,Maharagama,137926925,3139,Galle,2,2,5,580.3568006,"LINESTRING(80.0437918 6.5416058, 80.0438413 6.5412757, 80.0439117 6.5408522, 80.0439709 6.5402546, 80.0438689 6.5394196, 80.0438724 6.5391591, 80.0440782 6.5376301, 80.0441761 6.5370838, 80.0442354 6.5364298)"
4/1/2021,1121,Maharagama,50532711,3139,Galle,2,2,5,2217.556855,"LINESTRING(79.9348827 6.815251, 79.9348859 6.8153114, 79.9349038 6.8153775, 79.9349342 6.815439, 79.9349778 6.8155039, 79.9350286 6.8155449, 79.935097 6.8155798, 79.9352994 6.8156453, 79.9354118 6.8156852, 79.9357187 6.8158546, 79.9364094 6.8161686, 79.9366053 6.8162578, 79.9369506 6.8163928, 79.9370411 6.8164393, 79.9371162 6.8164979, 79.9371985 6.8165922, 79.937444 6.8169081, 79.9375976 6.8170946, 79.9377391 6.8173057, 79.9378954 6.8175061, 79.9379728 6.8175989, 79.9380491 6.8176694, 79.9383775 6.8179898, 79.9384389 6.8180494, 79.9384888 6.8181202, 79.9385136 6.8181664, 79.938519 6.8182024, 79.9385116 6.818244, 79.9384735 6.8182999, 79.9384063 6.8183697, 79.9382924 6.818474, 79.9382419 6.8185352, 79.9382134 6.8185876, 79.9381992 6.8186463, 79.9381636 6.8188096, 79.9381415 6.8189069, 79.9381207 6.8189654, 79.9380992 6.8190187, 79.9380312 6.8191129, 79.9379276 6.8192589, 79.9378006 6.8194477, 79.9376647 6.8196965, 79.9376305 6.8197457, 79.9375829 6.8197977, 79.937538 6.819837, 79.9374858 6.8198768, 79.9373957 6.8199337, 79.9370579 6.8201042, 79.9366078 6.8203819, 79.9363305 6.8205302, 79.9362405 6.8206086, 79.9362083 6.8206845, 79.93619 6.8207662, 79.9361963 6.8208539, 79.9362393 6.8209895, 79.9363629 6.8211561, 79.9365398 6.8213584, 79.936762 6.8216468, 79.9368547 6.8217648, 79.937028 6.8220629, 79.9370459 6.8221052, 79.9371202 6.822327, 79.937125 6.8225199, 79.9371196 6.8228336, 79.9370819 6.8231158, 79.9370379 6.8233103, 79.9370009 6.8234544, 79.9369557 6.8238948, 79.9369486 6.8239257, 79.936935 6.8239574, 79.9368912 6.8240097, 79.9368123 6.8240793, 79.936742 6.8241321, 79.9366652 6.8241748, 79.9365329 6.8242285, 79.9363821 6.8242855, 79.9362592 6.8243957, 79.9361822 6.8244859, 79.9361131 6.8245835, 79.9360711 6.8246757, 79.9360351 6.8247889, 79.9359913 6.8249868, 79.9359532 6.825365, 79.9359496 6.8256001, 79.9359414 6.8268885, 79.9358994 6.8270335, 79.9358681 6.8271393, 79.9358234 6.8272174, 79.9357539 6.8273025, 79.9353126 6.8278512, 79.93519 6.8280112, 79.9351488 6.8281079, 79.935126 6.8282042, 79.9351045 6.8283679, 79.9350867 6.8285074, 79.9350644 6.8286114, 79.9350429 6.8286888, 79.9349911 6.8287643, 79.9349275 6.8288552, 79.9348597 6.8289602, 79.9348165 6.8290388, 79.9347869 6.8291165, 79.9347396 6.829256, 79.9346734 6.8295095, 79.9346528 6.8296712, 79.9346374 6.8297989, 79.9346284 6.8299896, 79.9346116 6.8301426, 79.934607 6.8302704, 79.93461 6.8303224, 79.9346162 6.830375, 79.9346311 6.8304052, 79.9346526 6.8304445, 79.9346794 6.8304771, 79.9347049 6.8304984, 79.9348209 6.8305683, 79.9349164 6.8306371, 79.9349698 6.8306777, 79.9350201 6.8307381, 79.9350602 6.8308073, 79.9351145 6.8309521)"
4/1/2021,1121,Maharagama,794456089,3139,Galle,2,2,5,345.8356537,"LINESTRING(80.0373889 6.2693663, 80.0376394 6.2697123, 80.0378105 6.2700022, 80.0378629 6.2701824, 80.0378818 6.2702858, 80.0378886 6.2705356, 80.0378355 6.2709576, 80.0378309 6.2710952, 80.0378524 6.2711841, 80.0378875 6.2712617, 80.0379406 6.2713427, 80.0380149 6.2714271, 80.0381434 6.2715594, 80.0384034 6.271739, 80.0387088 6.2719293)"
4/1/2021,1121,Maharagama,545260363,3139,Galle,2,2,5,57.16261611,"LINESTRING(80.2102999 7.2414157, 80.2105819 7.2414021, 80.2108175 7.2413908)"
4/1/2021,1121,Maharagama,385939173,3139,Galle,2,2,5,1841.367832,"LINESTRING(79.9208206 6.8093459, 79.9209 6.8092936, 79.9210896 6.8091356, 79.9214837 6.8086792, 79.9218526 6.8083492, 79.9224572 6.8078209, 79.9229714 6.8073561, 79.9234521 6.8069871, 79.9237535 6.8068051, 79.9250731 6.8062531, 79.925473 6.8060398, 79.926063 6.8056787, 79.9262859 6.805527, 79.9263459 6.8054821, 79.9265207 6.8053558, 79.9290294 6.8034313, 79.9295881 6.8030791, 79.9301716 6.8028105, 79.9307653 6.8026, 79.9320455 6.8023528, 79.9326593 6.8022416, 79.9331439 6.8021301, 79.9333854 6.8020517, 79.9342699 6.8017463, 79.9348122 6.8014868, 79.9350224 6.8013731, 79.9350824 6.8013414)"
4/1/2021,1121,Maharagama,849646398,3139,Galle,2,2,4,78.64300018,"LINESTRING(80.0027945 6.717505, 80.0026731 6.7168081)"
4/1/2021,1121,Maharagama,98399555,3139,Galle,2,2,5,1343.223196,"LINESTRING(79.9821285 6.510463, 79.9821273 6.5102939, 79.9820978 6.51007, 79.9819979 6.5097282, 79.9819383 6.509486, 79.9816551 6.508395, 79.9815998 6.5081846, 79.9811729 6.5070444, 79.9809899 6.506484, 79.9809512 6.5060371, 79.9808992 6.5054377, 79.9809061 6.5053084, 79.9809448 6.5045841, 79.9809231 6.504465, 79.9808223 6.5039858, 79.9805503 6.5033865, 79.9803459 6.5029923, 79.9801834 6.5026137, 79.9800458 6.5021707, 79.9800004 6.5020245, 79.9799491 6.5018594, 79.9799401 6.5017483, 79.9799004 6.5013566, 79.9798387 6.5007466, 79.9799184 6.500007, 79.9800943 6.4995886, 79.9802777 6.4994008, 79.9804798 6.4991751, 79.9806227 6.4989901)"
4/1/2021,1121,Maharagama,98569184,3139,Galle,2,2,5,288.4511747,"LINESTRING(80.1387552 6.2718025, 80.1387299 6.2718404, 80.1384924 6.2721146, 80.1375315 6.2729485, 80.1370145 6.2735877, 80.1369602 6.2736703)"
4/1/2021,1121,Maharagama,849646403,3139,Galle,2,2,4,93.85866401,"LINESTRING(80.0030634 6.7189707, 80.0029093 6.7181406)"
4/1/2021,1121,Maharagama,817100756,3139,Galle,2,2,5,139.8649377,"LINESTRING(80.052483 6.2416064, 80.0523159 6.2416723, 80.0522026 6.2417037, 80.0519672 6.2417347, 80.0518301 6.2417469, 80.0517003 6.2417497, 80.0514242 6.2417339, 80.0512387 6.2417152)"
